"NODE_ID","QUERY_ID","STEP_ID","OPERATOR_ID","OPERATOR_TYPE","TABLE_NAME","LABEL","IS_ROOT","INPUT_ROWS","OUTPUT_ROWS","ROWS_INSERTED","EXECUTION_FRACTION_OF_STEP","PARENT_OPERATORS_JSON","OPERATOR_ATTRIBUTES_JSON","OPERATOR_STATISTICS_JSON","EXECUTION_TIME_BREAKDOWN_JSON","RAW_OPERATOR_JSON"
"01c73375-0005-833e-0001-91ae00232802:s1:n0","01c73375-0005-833e-0001-91ae00232802",1,0,"CREATE TABLE",,"CREATE TABLE [0] | Step 1",true,,,,1,,"{}","{}","{""other"":1.000000000000000e+00,""overall_percentage"":1.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""other"":1.000000000000000e+00,""overall_percentage"":1.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{},""OPERATOR_ID"":0,""OPERATOR_STATISTICS"":{},""OPERATOR_TYPE"":""CREATE TABLE"",""PARENT_OPERATORS"":null,""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":1}"
"01c73375-0005-833e-0001-91ae00232802:s2:n0","01c73375-0005-833e-0001-91ae00232802",2,0,"Result",,"Result [0] | Step 2",true,0,,,0,,"{}","{""input_rows"":0}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{},""OPERATOR_ID"":0,""OPERATOR_STATISTICS"":{""input_rows"":0},""OPERATOR_TYPE"":""Result"",""PARENT_OPERATORS"":null,""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n1","01c73375-0005-833e-0001-91ae00232802",2,1,"CreateTableAsSelect","SY29592.RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_E1_OUTPUT","CreateTableAsSelect [1] | Step 2 | SY29592.RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_E1_OUTPUT",false,100000,0,100000,0.6,"[0]","{""input_expressions"":[""SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID"",""'2025-11-30'"",""COUNT(1)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.DRAWN_BALANCE)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.UNDRAWN)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CAPPED_RECOVERY)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT)"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD = 0, 1, 0))"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.OVER_LIMIT)"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.COLLATERAL_LINK_COUNT = 0, 1, 0))"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.RECOVERY_EVENT_COUNT = 0, 1, 0))"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.RECOVERY_CAPACITY > SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD, 1, 0))"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.SEGMENT"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.COUNTRY"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.RATING"",""SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID"",""IFNULL(SCALED_ROUND_INT_DIVIDE(SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT), NULLIF(SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD), 0)), 0)"",""(EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.PD_BPS) / 10000"",""ROUND(SCALED_DECIMAL_MULTIPLY((EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.PD_BPS) / 10000, SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT), 4), 6)"",""'EUR'""],""table_name"":""SY29592.RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_E1_OUTPUT""}","{""dml"":{""number_of_rows_inserted"":100000},""input_rows"":100000,""io"":{""bytes_written"":4258816},""output_rows"":0}","{""overall_percentage"":6.000000000000000e-01,""processing"":4.000000000000000e-01,""remote_disk_io"":2.000000000000000e-01}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":6.000000000000000e-01,""processing"":4.000000000000000e-01,""remote_disk_io"":2.000000000000000e-01},""OPERATOR_ATTRIBUTES"":{""input_expressions"":[""SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID"",""'2025-11-30'"",""COUNT(1)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.DRAWN_BALANCE)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.UNDRAWN)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CAPPED_RECOVERY)"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT)"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD = 0, 1, 0))"",""SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.OVER_LIMIT)"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.COLLATERAL_LINK_COUNT = 0, 1, 0))"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.RECOVERY_EVENT_COUNT = 0, 1, 0))"",""SUM(IFF(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.RECOVERY_CAPACITY > SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD, 1, 0))"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.SEGMENT"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.COUNTRY"",""EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.RATING"",""SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID"",""IFNULL(SCALED_ROUND_INT_DIVIDE(SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT), NULLIF(SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD), 0)), 0)"",""(EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.PD_BPS) / 10000"",""ROUND(SCALED_DECIMAL_MULTIPLY((EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.PD_BPS) / 10000, SUM(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.LGD_AMOUNT), 4), 6)"",""'EUR'""],""table_name"":""SY29592.RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_E1_OUTPUT""},""OPERATOR_ID"":1,""OPERATOR_STATISTICS"":{""dml"":{""number_of_rows_inserted"":100000},""input_rows"":100000,""io"":{""bytes_written"":4258816},""output_rows"":0},""OPERATOR_TYPE"":""CreateTableAsSelect"",""PARENT_OPERATORS"":[0],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n2","01c73375-0005-833e-0001-91ae00232802",2,2,"Join",,"Join [2] | Step 2",false,200000,100000,,0,"[1]","{""equality_join_condition"":""(EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.CUSTOMER_ID = SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID)"",""join_type"":""INNER""}","{""input_rows"":200000,""output_rows"":100000}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""equality_join_condition"":""(EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.CUSTOMER_ID = SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID)"",""join_type"":""INNER""},""OPERATOR_ID"":2,""OPERATOR_STATISTICS"":{""input_rows"":200000,""output_rows"":100000},""OPERATOR_TYPE"":""Join"",""PARENT_OPERATORS"":[1],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n3","01c73375-0005-833e-0001-91ae00232802",2,3,"Join",,"Join [3] | Step 2",false,200000,100000,,0,"[2]","{""equality_join_condition"":""(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID = EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.CUSTOMER_ID)"",""join_type"":""INNER""}","{""input_rows"":200000,""output_rows"":100000}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""equality_join_condition"":""(SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID = EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS.CUSTOMER_ID)"",""join_type"":""INNER""},""OPERATOR_ID"":3,""OPERATOR_STATISTICS"":{""input_rows"":200000,""output_rows"":100000},""OPERATOR_TYPE"":""Join"",""PARENT_OPERATORS"":[2],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n4","01c73375-0005-833e-0001-91ae00232802",2,4,"Filter",,"Filter [4] | Step 2",false,100000,100000,,0,"[3]","{""filter_condition"":""ROW_NUMBER() OVER (PARTITION BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID ORDER BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD DESC NULLS LAST, SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID ASC NULLS FIRST) = 1""}","{""input_rows"":100000,""output_rows"":100000}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""filter_condition"":""ROW_NUMBER() OVER (PARTITION BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID ORDER BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD DESC NULLS LAST, SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID ASC NULLS FIRST) = 1""},""OPERATOR_ID"":4,""OPERATOR_STATISTICS"":{""input_rows"":100000,""output_rows"":100000},""OPERATOR_TYPE"":""Filter"",""PARENT_OPERATORS"":[3],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n5","01c73375-0005-833e-0001-91ae00232802",2,5,"WindowFunction",,"WindowFunction [5] | Step 2",false,300000,100000,,0,"[4]","{""functions"":[""ROW_NUMBER() OVER (PARTITION BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID ORDER BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD DESC NULLS LAST, SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID ASC NULLS FIRST)""]}","{""input_rows"":300000,""output_rows"":100000}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""functions"":[""ROW_NUMBER() OVER (PARTITION BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.CUSTOMER_ID ORDER BY SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.EAD DESC NULLS LAST, SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX.ACCOUNT_ID ASC NULLS FIRST)""]},""OPERATOR_ID"":5,""OPERATOR_STATISTICS"":{""input_rows"":300000,""output_rows"":100000},""OPERATOR_TYPE"":""WindowFunction"",""PARENT_OPERATORS"":[4],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n6","01c73375-0005-833e-0001-91ae00232802",2,6,"TableScan","RISKDEMO.EAD_LGD_DEMO.SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX","TableScan [6] | Step 2 | RISKDEMO.EAD_LGD_DEMO.SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX",false,,300000,,0,"[5]","{""columns"":[""ACCOUNT_ID"",""CUSTOMER_ID"",""EAD""],""table_name"":""RISKDEMO.EAD_LGD_DEMO.SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX""}","{""io"":{""bytes_scanned"":2097152,""percentage_scanned_from_cache"":1,""scan_progress"":1},""output_rows"":300000,""pruning"":{""partitions_scanned"":1,""partitions_total"":1}}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""columns"":[""ACCOUNT_ID"",""CUSTOMER_ID"",""EAD""],""table_name"":""RISKDEMO.EAD_LGD_DEMO.SNOWPARK_TEMP_TABLE_SGVQXTYHDYPUQJX""},""OPERATOR_ID"":6,""OPERATOR_STATISTICS"":{""io"":{""bytes_scanned"":2097152,""percentage_scanned_from_cache"":1,""scan_progress"":1},""output_rows"":300000,""pruning"":{""partitions_scanned"":1,""partitions_total"":1}},""OPERATOR_TYPE"":""TableScan"",""PARENT_OPERATORS"":[5],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n7","01c73375-0005-833e-0001-91ae00232802",2,7,"JoinFilter",,"JoinFilter [7] | Step 2",false,100000,100000,,0,"[3]","{""join_id"":""3""}","{""input_rows"":100000,""output_rows"":100000}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""join_id"":""3""},""OPERATOR_ID"":7,""OPERATOR_STATISTICS"":{""input_rows"":100000,""output_rows"":100000},""OPERATOR_TYPE"":""JoinFilter"",""PARENT_OPERATORS"":[3],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
"01c73375-0005-833e-0001-91ae00232802:s2:n8","01c73375-0005-833e-0001-91ae00232802",2,8,"TableScan","RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS","TableScan [8] | Step 2 | RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS",false,,100000,,0,"[7]","{""columns"":[""CUSTOMER_ID"",""SEGMENT"",""COUNTRY"",""RATING"",""PD_BPS""],""table_name"":""RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS""}","{""io"":{""bytes_scanned"":464896,""percentage_scanned_from_cache"":1,""scan_progress"":1},""output_rows"":100000,""pruning"":{""partitions_scanned"":1,""partitions_total"":1}}","{""overall_percentage"":0.000000000000000e+00}","{""EXECUTION_TIME_BREAKDOWN"":{""overall_percentage"":0.000000000000000e+00},""OPERATOR_ATTRIBUTES"":{""columns"":[""CUSTOMER_ID"",""SEGMENT"",""COUNTRY"",""RATING"",""PD_BPS""],""table_name"":""RISKDEMO.EAD_LGD_DEMO.EAD_R570F5E1751AE4ABA8B8A30CC39919CD7_CUSTOMERS""},""OPERATOR_ID"":8,""OPERATOR_STATISTICS"":{""io"":{""bytes_scanned"":464896,""percentage_scanned_from_cache"":1,""scan_progress"":1},""output_rows"":100000,""pruning"":{""partitions_scanned"":1,""partitions_total"":1}},""OPERATOR_TYPE"":""TableScan"",""PARENT_OPERATORS"":[7],""QUERY_ID"":""01c73375-0005-833e-0001-91ae00232802"",""STEP_ID"":2}"
