"RELATIONSHIP_ID","SOURCE_NODE_ID","TARGET_NODE_ID","QUERY_ID","STEP_ID","SOURCE_OPERATOR_ID","TARGET_OPERATOR_ID","PARENT_INDEX","RELATIONSHIP_TYPE","SOURCE_OUTPUT_ROWS"
"01c73375-0005-833e-0001-91ae00232802:s2:n1:p0","01c73375-0005-833e-0001-91ae00232802:s2:n1","01c73375-0005-833e-0001-91ae00232802:s2:n0","01c73375-0005-833e-0001-91ae00232802","2","1","0","0","DATA_FLOW","0"
"01c73375-0005-833e-0001-91ae00232802:s2:n2:p0","01c73375-0005-833e-0001-91ae00232802:s2:n2","01c73375-0005-833e-0001-91ae00232802:s2:n1","01c73375-0005-833e-0001-91ae00232802","2","2","1","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n3:p0","01c73375-0005-833e-0001-91ae00232802:s2:n3","01c73375-0005-833e-0001-91ae00232802:s2:n2","01c73375-0005-833e-0001-91ae00232802","2","3","2","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n4:p0","01c73375-0005-833e-0001-91ae00232802:s2:n4","01c73375-0005-833e-0001-91ae00232802:s2:n3","01c73375-0005-833e-0001-91ae00232802","2","4","3","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n5:p0","01c73375-0005-833e-0001-91ae00232802:s2:n5","01c73375-0005-833e-0001-91ae00232802:s2:n4","01c73375-0005-833e-0001-91ae00232802","2","5","4","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n6:p0","01c73375-0005-833e-0001-91ae00232802:s2:n6","01c73375-0005-833e-0001-91ae00232802:s2:n5","01c73375-0005-833e-0001-91ae00232802","2","6","5","0","DATA_FLOW","300000"
"01c73375-0005-833e-0001-91ae00232802:s2:n7:p0","01c73375-0005-833e-0001-91ae00232802:s2:n7","01c73375-0005-833e-0001-91ae00232802:s2:n3","01c73375-0005-833e-0001-91ae00232802","2","7","3","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n8:p0","01c73375-0005-833e-0001-91ae00232802:s2:n8","01c73375-0005-833e-0001-91ae00232802:s2:n7","01c73375-0005-833e-0001-91ae00232802","2","8","7","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n9:p0","01c73375-0005-833e-0001-91ae00232802:s2:n9","01c73375-0005-833e-0001-91ae00232802:s2:n2","01c73375-0005-833e-0001-91ae00232802","2","9","2","0","DATA_FLOW","100000"
"01c73375-0005-833e-0001-91ae00232802:s2:n10:p0","01c73375-0005-833e-0001-91ae00232802:s2:n10","01c73375-0005-833e-0001-91ae00232802:s2:n9","01c73375-0005-833e-0001-91ae00232802","2","10","9","0","DATA_FLOW","300000"
"01c73375-0005-833e-0001-91ae00232802:s2:n11:p0","01c73375-0005-833e-0001-91ae00232802:s2:n11","01c73375-0005-833e-0001-91ae00232802:s2:n10","01c73375-0005-833e-0001-91ae00232802","2","11","10","0","DATA_FLOW","300000"
